"gene","log2FoldChange","padj","status"
"ENSG00000075702.16",2.88116914112463,4.23620893786024e-182,"UP"
"ENSG00000186185.13",3.53186365591711,3.96684282955855e-181,"UP"
"ENSG00000135424.15",-3.67432803886858,1.34117029841685e-180,"DOWN"
"ENSG00000245812.2",-3.23248450011418,1.39611157815312e-180,"DOWN"
"ENSG00000267328.1",-4.70864397255282,2.83291612429182e-180,"DOWN"
"ENSG00000130876.11",-4.21308817428951,1.16854892692765e-179,"DOWN"
"ENSG00000077616.10",-2.95150422027365,1.320565491734e-179,"DOWN"
"ENSG00000138640.14",-2.4355834075786,3.113910927906e-179,"DOWN"
"ENSG00000170373.8",6.95502764490594,3.41236735762496e-179,"UP"
"ENSG00000244734.3",-5.06785089770505,9.40990765357005e-179,"DOWN"
"ENSG00000126787.12",3.29325948878308,1.27708857932841e-178,"UP"
"ENSG00000072571.19",3.00986803021547,4.58070003872947e-178,"UP"
"ENSG00000185271.7",-3.75151005599988,4.92444866820485e-178,"DOWN"
"ENSG00000025423.11",2.4943485574967,7.66252140397173e-178,"UP"
"ENSG00000280339.1",-3.53905549755988,1.05917072451428e-177,"DOWN"
"ENSG00000171848.13",3.38359346770487,4.00131204653599e-177,"UP"
"ENSG00000004776.12",-4.66547360529631,4.13331863002178e-177,"DOWN"
"ENSG00000164611.12",3.20014176688165,4.86483780990527e-177,"UP"
"ENSG00000237649.7",3.0178223712964,1.19949298449712e-176,"UP"
"ENSG00000174371.16",3.44004180133012,2.37742530963489e-176,"UP"
"ENSG00000142945.12",3.34015027810414,7.00641926416826e-176,"UP"
"ENSG00000066279.17",3.54675542702581,1.73092826014304e-175,"UP"
"ENSG00000137878.16",-2.13495850288961,2.17190421718459e-175,"DOWN"
"ENSG00000134057.14",2.54216231291239,2.39850164659534e-175,"UP"
"ENSG00000100526.19",2.89743630401453,2.13214042740531e-174,"UP"
"ENSG00000087586.17",3.08745091566444,9.02531985783082e-174,"UP"
"ENSG00000180354.15",-2.5665120607262,2.66704106398637e-173,"DOWN"
"ENSG00000156970.12",2.94585820697024,5.98381628841114e-173,"UP"
